MORTGAGE_TRDLN_TOTAL,RECENT_OPEN_ACCT_TRDLN_OPEN_TOTAL,TERM_OF_LOAN,ALL_TRDLN_TAGGED_TOTAL,DEROG_TRDLN_TOTAL,INQUIRY_CNT_TOTAL,CREDIT_SCORE_AVG_CALC,FE_RESIDENCE_TOTAL_MONTHS,ALL_CREDIT_HISTORY_MONTHS_TOTAL,CASH_DOWN_CONTRACT,RECENT_OPEN_ACCT_CUR_BAL_OPEN_TOTAL,COLLECTIONS_CUR_BAL_TOTAL,CREDIT_CARD_AVAILABLE_TOTAL,REVOLVING_AVAILABLE_TAGGED_TOTAL,CREDIT_CARD_CREDIT_LIMIT_TOTAL,BANK_CARD_CREDIT_LIMIT_TOTAL,CREDIT_CARD_CUR_BAL_OPEN_TOTAL,INSTALLMENT_MO_PMT_TOTAL,REVOLVING_CUR_BAL_TOTAL,FE_DEBT_TO_INCOME,AUTO_ORIG_BAL_PAID_TOTAL,VEHICLE_MILEAGE,AUTO_ORIG_BAL_MAX_TOTAL,INSTALLMENT_CUR_BAL_TOTAL,PAYMENT_AMOUNT,FE_LTV_BACK,AUTO_PTI_TOTAL,OPB,LTV_FRONT,INQUIRY_RECENT_CNT_TOTAL,DEALER_RESERVE,AUTO_CREDIT_HISTORY_MONTHS_MAX_TOTAL,FE_TOTAL_INCOME,DEROG_CUR_BAL_TOTAL
0,0,68,2,1,11,330,4,27,0,0,0,-1699.10458132636,-2061.90456185863,0,0,142.95875751511,0,0,0,0,1221.16861685109,3815.46343754463,436.824670589129,393.055401569871,0.0465617915488989,0.0771463150093178,15723.7178636054,1.07922154777761,3,-1,18,1670.52163881083,0
0,0,55,4,2,15,308,18,58,0,0,0,-4808.5299419233,-2601.35099043378,112.109752748547,0,142.95875751511,308.895013281923,0,0,0,1211.3991427217,5154.88699573296,1032.77732648179,258.399588515469,0.027329328567702,0.0407548747971605,8834.72998440455,0.745993657979463,2,1,2,3046.09521393808,0
0,0,57,2,2,1,395,4,27,0,0,0,-6105.99292852197,9.46405948069605,86.8515388038159,0,142.95875751511,544.812447227074,0,0,0,1221.38486253297,7406.52990108163,4119.02136493937,271.833592464805,0.0211950117017132,0.0879469596926662,13962.4382853649,1.13487679542603,3,0,8,2231.67031225354,0
0,0,65,6,2,5,456,11,37,0,0,0,361.409097088286,-1116.05187576536,280.062731224649,0,142.95875751511,836.150438385843,0,0,0,1210.27998739069,4398.11084957926,2388.04910209359,362.118736832636,0.034647753281542,0.0956192823201409,18750.9559500948,0.805797518987326,7,0,9,1424.06616463917,0
0,0,74,2,2,13,603,9,61,0,0,0,1764.27838173191,-2716,0,0,142.95875751511,41.5167794133579,0,0,0,1231.83888772738,10828.6390391347,4965.01128046484,316.650626405039,0.0209030088098302,0.0821043814533161,10000.5993752488,1.07197103327872,7,1,21,3173.81814571827,0
0,0,66,5,2,6,615,12,41,0,0,0,-4558.71940040859,-112.252438065868,0,0,142.95875751511,481.593223315466,0,0,0,1214.42332227215,3314.94356617087,1853.24056739952,404.151300173604,0.0222091133172331,0.0397228370905241,9791.63507997808,0.788316019473875,4,-1,21,1915.26716120593,0
0,0,71,4,0,11,597,10,23,0,0,0,1415.61458766223,-479.59462535517,142.76454072365,0,142.95875751511,597.903438540793,0,0,0,1233.73446832547,3605.24441722941,1880.00313820067,252.263932517324,0.0251481009498734,0.0911785450553427,8850.08366913044,0.763996896463143,1,1,6,3226.19128227838,0
0,0,60,3,2,2,303,7,51,0,0,0,427.296254284267,-544.632357135655,274.867140597737,0,142.95875751511,502.059339672671,0,0,0,1242.44502825127,243.25392997617,2531.41003541855,373.756274833201,0.0172179062041294,0.101162591546984,12703.0240653748,1.07299058570829,3,0,14,2690.03175133534,0
0,0,68,3,1,6,528,16,42,0,0,0,-6839.7789353652,-806.889251634934,0,0,142.95875751511,0,0,0,0,1218.32788970845,7276.68377520095,3453.15846052487,163.977620921207,0.0273257526329783,0.0983188008026152,20832.5240801988,0.940000804840338,3,1,18,1747.22127150748,0
0,0,61,5,1,5,607,9,57,0,0,0,-6686.05315814191,-2716,0,0,142.95875751511,341.429950700827,0,0,0,1227.54116595506,8164.44828752584,5415.52994379343,334.496358612832,0.0332780909600576,0.0533351073737425,19620.6671623315,0.717942665366632,6,0,17,3373.77072739426,0
0,0,61,2,2,8,457,9,26,0,0,0,-6643.34229296567,-56.5395824252821,0,142.95223917572,142.95875751511,770.02954073628,0,0,0,1222.38088179797,4042.25981234328,965.276039233926,279.913826767539,0.0152406476743626,0.0375265592319722,10841.1962011732,1.00793605151982,3,0,16,1147.77565551584,0
0,0,66,5,2,1,398,18,35,0,0,0,1078.39869948443,143.321124301024,0,0,142.95875751511,0,0,0,0,1231.37866047894,7087.71038954804,2503.49206538243,304.865268704778,0.0294178324998398,0.0975790617830244,11338.0216058302,1.13018486442955,3,1,3,2279.10728090303,0
0,0,67,4,1,8,499,5,40,0,0,0,1349.46511598353,-747.565719583486,0,0,142.95875751511,625.748158863622,0,0,0,1228.19599721065,1628.53069207069,2201.47440719801,200.744371359174,0.0161197853394879,0.0697501480207458,8794.68915033615,1.05309227641279,3,0,20,2347.78697977761,0
0,0,62,3,2,3,529,8,16,0,0,0,1532.93657336106,-1604.77877873251,0,113.612564029765,142.95875751511,140.033465807028,0,0,0,1209.41583213711,8832.62940756035,3029.63169627276,199.300813306022,0.0343960881410112,0.067519993802592,13990.0581090638,1.03317509777681,4,-1,2,2219.99318124821,0
0,0,73,3,2,16,512,16,38,0,0,0,-5247.07692666158,-1076.83849387775,127.406374174901,0,142.95875751511,237.759684059371,0,0,0,1225.49781529669,7712.84708593789,1028.42969105097,202.663074240461,0.041025040826714,0.0584203351894787,11054.6087136123,0.901822278031466,7,1,10,2321.56583362255,0
0,0,61,3,1,15,401,5,52,0,0,0,1628.68228224901,-2384.94136790937,0,0,142.95875751511,965.607509883564,0,0,0,1225.04425219727,5277.20909650241,5521.41662972108,327.6536658761,0.0465559168920325,0.0905483282675438,17113.2559486583,1.09401150855972,4,1,10,2884.54304805358,0
0,0,61,2,1,8,621,22,35,0,0,0,-770.965949330267,-998.51087729635,90.0312953734574,0,142.95875751511,132.348156104351,0,0,0,1228.27603471402,10089.9206799244,4345.70790023502,262.246760300955,0.0372532456247514,0.102898026311212,20194.1422539909,1.03774909271193,3,0,6,1534.11216386402,0
0,0,73,3,1,7,300,17,63,0,0,0,-1094.91180502831,-575.250499113925,0,0,142.95875751511,0,0,0,0,1232.70080351751,10034.1926642472,4746.35350982044,403.45767862784,0.0264382099003629,0.0746520417247467,21128.5006472476,1.11952916572948,6,2,20,1221.05962805365,0
0,0,74,4,2,13,470,12,21,0,0,0,1136.12150517828,236.997603302096,318.706568935471,0,142.95875751511,983.371995071115,0,0,0,1237.48981308117,4024.97227189572,2837.71034426063,256.709615089096,0.0248764681889272,0.0442708059196222,15278.1946078018,0.951631407937483,2,1,7,2898.10815644784,0
0,0,74,4,0,13,557,7,66,0,0,0,-5477.17280246179,-2716,47.8851520988137,0,142.95875751511,829.637742922613,0,0,0,1240.27140287736,10874.2698333351,5537.71598876265,255.585251871893,0.0413718035258359,0.0969380677410788,11714.1187679193,1.0494248922484,6,0,16,1285.74866758207,0
0,0,64,1,0,15,482,20,27,0,0,0,-4436.97000436859,-2413.29418369122,201.170632467176,0,142.95875751511,151.231619941643,0,0,0,1232.00002170587,7370.83684805594,2109.56974172843,336.065270385879,0.0489562685343307,0.0431772848121683,14002.3479176745,1.11772380141433,2,0,19,1936.35020209735,0
0,0,62,5,1,7,397,14,63,0,0,0,-1290.46358110692,268.307922904973,0,44.1735786652971,142.95875751511,94.4550955648335,0,0,0,1224.88484737171,3454.92321180859,6190.08974153181,282.738380025306,0.0324583707595879,0.102996795869809,18526.3106673325,0.971942870897186,6,0,7,3168.36724600208,0
0,0,63,1,1,11,380,13,48,0,0,0,-1922.35193397283,-1311.08411248593,0,0,142.95875751511,528.698929023294,0,0,0,1239.9726315497,3214.92522479901,5886.00259182831,259.926210141627,0.0153395732085646,0.0727941839272879,11380.7746608908,0.816293673598641,4,1,6,3245.49936261561,0
0,0,63,2,1,15,495,21,28,0,0,0,599.823921941598,-2503.62282368509,0,103.048995852205,142.95875751511,274.132394469964,0,0,0,1237.03506364639,11451.9039179897,5965.21252338035,293.60795322262,0.0508634769196,0.0922225296475181,14158.0268807498,0.91752583043055,7,1,5,2258.47345767342,0
0,0,72,1,1,9,634,16,40,0,0,0,-7896.77133816475,-1505.11316508537,0,0,142.95875751511,403.241318703059,0,0,0,1235.05810612986,11247.4599753904,3572.67373033932,185.322404033927,0.0470485543732154,0.0982477116606385,19009.5007060998,1.06309776988988,6,1,3,2708.86788740476,0
0,0,74,4,2,2,528,7,43,0,0,0,-207.347157793033,-2716,0,0,142.95875751511,745.616477984532,0,0,0,1221.43141722559,6871.69042780147,1768.07767881155,221.140518833763,0.0392643792472623,0.0623277717736897,16043.9561200632,0.875001064803237,7,0,17,3247.29066209784,0
0,0,65,6,2,16,557,3,62,0,0,0,-6606.19415358985,-203.424478694581,0,118.887466661688,142.95875751511,724.935359165268,0,0,0,1233.1359196831,10122.4997471443,1103.43269367283,394.983822634912,0.0370359132636131,0.0894718611119089,19681.338920574,1.02450995961164,3,1,20,3063.20301780323,0
0,0,60,1,1,1,300,3,47,0,0,0,-2219.19897646904,-2114.58981663679,0,0,142.95875751511,893.287912907937,0,0,0,1236.96945146258,8670.91813064301,4863.90692175529,247.740170570351,0.0321433717166537,0.0525571828079316,9582.11169951249,0.852785871521847,3,1,11,1820.75376644288,0
0,0,56,2,1,14,506,15,31,0,0,0,-738.549131873129,-1659.64039538684,0,0,142.95875751511,0,0,0,0,1233.30206512419,1758.42828258209,2486.41507095377,290.8490105152,0.0291461139676599,0.0484134151809392,17433.8349330738,0.889456675223055,1,-1,2,1941.92827308451,0
0,0,71,4,1,15,604,9,22,0,0,0,-1537.65591995819,-31.7107275758367,238.952854157451,0,142.95875751511,80.6091174194823,0,0,0,1231.54204831709,2069.03390811031,4020.34392665824,273.72528504162,0.0497111485799545,0.080152669000126,21475.457774055,0.92384029541594,7,0,19,3046.5298255224,0
