TERM_OF_LOAN,Profitability,Origination_year,YEAR,Months_elapsed,CREDIT_SCORE_BUCKET,OPB,PAYMENT_AMOUNT,AUTO_PTI_TOTAL
72.0,0.03763654306903957,2018.0,2018.0,0.0,601-660,21356.25931905332,392.44581521724206,12.68104571127499
72.0,3329.3819072892834,2018.0,2019.0,12.0,601-660,16646.909536446416,392.44581521724206,12.68104571127499
72.0,2506.8875483062966,2018.0,2020.0,24.0,601-660,11937.559753839509,392.44581521724206,12.68104571127499
72.0,1590.2061936711732,2018.0,2021.0,36.0,601-660,7228.209971232605,392.44581521724206,12.68104571127499
72.0,579.3378433839107,2018.0,2022.0,48.0,601-660,2518.8601886256984,392.44581521724206,12.68104571127499
72.0,0.0,2018.0,2023.0,60.0,601-660,0.0,392.44581521724206,12.68104571127499
72.0,0.0,2018.0,2024.0,72.0,601-660,0.0,392.44581521724206,12.68104571127499
72.0,0.0,2018.0,2025.0,84.0,601-660,0.0,392.44581521724206,12.68104571127499
75.0,0.08315372300848081,2018.0,2018.0,0.0,<600,14556.091489415863,293.9366511998594,11.22321729054633
75.0,2205.7703350035104,2018.0,2019.0,12.0,<600,11028.851675017551,293.9366511998594,11.22321729054633
75.0,1575.33849073004,2018.0,2020.0,24.0,<600,7501.611860619238,293.9366511998594,11.22321729054633
75.0,874.3618501686033,2018.0,2021.0,36.0,<600,3974.372046220924,293.9366511998594,11.22321729054633
75.0,102.84041331920078,2018.0,2022.0,48.0,<600,447.1322318226121,293.9366511998594,11.22321729054633
75.0,0.0,2018.0,2023.0,60.0,<600,0.0,293.9366511998594,11.22321729054633
75.0,0.0,2018.0,2024.0,72.0,<600,0.0,293.9366511998594,11.22321729054633
75.0,0.0,2018.0,2025.0,84.0,<600,0.0,293.9366511998594,11.22321729054633
48.0,0.016414871563037538,2018.0,2018.0,0.0,601-660,22541.023808017067,439.8477713732814,12.74382396957211
48.0,3452.570110307538,2018.0,2019.0,12.0,601-660,17262.85055153769,439.8477713732814,12.74382396957211
48.0,2516.782231962246,2018.0,2020.0,24.0,601-660,11984.677295058314,439.8477713732814,12.74382396957211
48.0,1475.4308884873665,2018.0,2021.0,36.0,601-660,6706.504038578938,439.8477713732814,12.74382396957211
48.0,0.0,2018.0,2022.0,48.0,601-660,0.0,439.8477713732814,12.74382396957211
48.0,0.0,2018.0,2023.0,60.0,601-660,0.0,439.8477713732814,12.74382396957211
48.0,0.0,2018.0,2024.0,72.0,601-660,0.0,439.8477713732814,12.74382396957211
48.0,0.0,2018.0,2025.0,84.0,601-660,0.0,439.8477713732814,12.74382396957211
75.0,0.0840644401461218,2018.0,2018.0,0.0,601-660,26805.42912791603,628.3389906012691,21.45640644343332
75.0,3853.072248140161,2018.0,2019.0,12.0,601-660,19265.361240700804,628.3389906012691,21.45640644343332
75.0,2462.3116042319703,2018.0,2020.0,24.0,601-660,11725.293353485573,628.3389906012691,21.45640644343332
75.0,920.749602579476,2018.0,2021.0,36.0,601-660,4185.225466270345,628.3389906012691,21.45640644343332
75.0,0.0,2018.0,2022.0,48.0,601-660,0.0,628.3389906012691,21.45640644343332
75.0,0.0,2018.0,2023.0,60.0,601-660,0.0,628.3389906012691,21.45640644343332
75.0,0.0,2018.0,2024.0,72.0,601-660,0.0,628.3389906012691,21.45640644343332
75.0,0.0,2018.0,2025.0,84.0,601-660,0.0,628.3389906012691,21.45640644343332
72.0,0.015969359060944887,2018.0,2018.0,0.0,660+,14365.77706446677,275.0467853289317,8.14894497535286
72.0,2213.0431281039178,2018.0,2019.0,12.0,660+,11065.21564051959,275.0467853289317,8.14894497535286
