TERM_OF_LOAN,Profitability,Origination_year,YEAR,Months_elapsed,CREDIT_SCORE_BUCKET,OPB,PAYMENT_AMOUNT,AUTO_PTI_TOTAL
75.0,0.09013740554775614,2022.0,2022.0,0.0,601-660,27680.758240505376,445.3135198834832,10.13224362995858
75.0,4467.399200380716,2022.0,2023.0,12.0,601-660,22336.99600190358,445.3135198834832,10.13224362995858
75.0,3568.579090293374,2022.0,2024.0,24.0,601-660,16993.23376330178,445.3135198834832,10.13224362995858
75.0,2562.8837354339958,2022.0,2025.0,36.0,601-660,11649.47152469998,445.3135198834832,10.13224362995858
75.0,1450.313135802582,2022.0,2026.0,48.0,601-660,6305.709286098183,445.3135198834832,10.13224362995858
75.0,230.8672913991325,2022.0,2027.0,60.0,601-660,961.9470474963855,445.3135198834832,10.13224362995858
75.0,0.0,2022.0,2028.0,72.0,601-660,0.0,445.3135198834832,10.13224362995858
75.0,0.0,2022.0,2029.0,84.0,601-660,0.0,445.3135198834832,10.13224362995858
72.0,0.019075900783369182,2022.0,2022.0,0.0,660+,20220.732999717573,393.99906303829215,11.89767781866238
72.0,3098.5488486516138,2022.0,2023.0,12.0,660+,15492.744243258068,393.99906303829215,11.89767781866238
72.0,2260.598652227698,2022.0,2024.0,24.0,660+,10764.755486798562,393.99906303829215,11.89767781866238
72.0,1328.0886806745923,2022.0,2025.0,36.0,660+,6036.766730339055,393.99906303829215,11.89767781866238
72.0,301.0189339922967,2022.0,2026.0,48.0,660+,1308.7779738795507,393.99906303829215,11.89767781866238
72.0,0.0,2022.0,2027.0,60.0,660+,0.0,393.99906303829215,11.89767781866238
72.0,0.0,2022.0,2028.0,72.0,660+,0.0,393.99906303829215,11.89767781866238
72.0,0.0,2022.0,2029.0,84.0,660+,0.0,393.99906303829215,11.89767781866238
75.0,0.005316812356354806,2022.0,2022.0,0.0,601-660,34975.29948044534,495.5057578872661,10.97958141445334
75.0,5805.846077159629,2022.0,2023.0,12.0,601-660,29029.230385798146,495.5057578872661,10.97958141445334
75.0,4847.4638711417,2022.0,2024.0,24.0,601-660,23083.161291150955,495.5057578872661,10.97958141445334
75.0,3770.160283230828,2022.0,2025.0,36.0,601-660,17137.092196503763,495.5057578872661,10.97958141445334
75.0,2573.935313427011,2022.0,2026.0,48.0,601-660,11191.023101856568,495.5057578872661,10.97958141445334
75.0,1258.7889617302496,2022.0,2027.0,60.0,601-660,5244.954007209373,495.5057578872661,10.97958141445334
75.0,0.0,2022.0,2028.0,72.0,601-660,0.0,495.5057578872661,10.97958141445334
75.0,0.0,2022.0,2029.0,84.0,601-660,0.0,495.5057578872661,10.97958141445334
72.0,0.0828989443377743,2022.0,2022.0,0.0,<600,21226.7233124048,404.9396477810973,11.11607461586245
72.0,3273.489507806327,2022.0,2023.0,12.0,<600,16367.447539031633,404.9396477810973,11.11607461586245
72.0,2416.7160707882776,2022.0,2024.0,24.0,<600,11508.171765658466,404.9396477810973,11.11607461586245
72.0,1462.7571183027653,2022.0,2025.0,36.0,<600,6648.895992285297,404.9396477810973,11.11607461586245
72.0,411.61265034979044,2022.0,2026.0,48.0,<600,1789.6202189121323,404.9396477810973,11.11607461586245
72.0,0.0,2022.0,2027.0,60.0,<600,0.0,404.9396477810973,11.11607461586245
72.0,0.0,2022.0,2028.0,72.0,<600,0.0,404.9396477810973,11.11607461586245
72.0,0.0,2022.0,2029.0,84.0,<600,0.0,404.9396477810973,11.11607461586245
75.0,0.0026860944856192726,2022.0,2022.0,0.0,<600,19952.697785349777,404.5578801675552,14.47198946150535
75.0,3019.600644667823,2022.0,2023.0,12.0,<600,15098.003223339114,404.5578801675552,14.47198946150535
75.0,2151.094818878975,2022.0,2024.0,24.0,<600,10243.308661328452,404.5578801675552,14.47198946150535
75.0,1185.495101849914,2022.0,2025.0,36.0,<600,5388.6140993177905,404.5578801675552,14.47198946150535
75.0,122.80149358063922,2022.0,2026.0,48.0,<600,533.919537307127,404.5578801675552,14.47198946150535
75.0,0.0,2022.0,2027.0,60.0,<600,0.0,404.5578801675552,14.47198946150535
75.0,0.0,2022.0,2028.0,72.0,<600,0.0,404.5578801675552,14.47198946150535
75.0,0.0,2022.0,2029.0,84.0,<600,0.0,404.5578801675552,14.47198946150535
75.0,0.03585378772810528,2022.0,2022.0,0.0,601-660,39236.93140216511,724.3594269448073,9.24989864876709
75.0,6108.923655765484,2022.0,2023.0,12.0,601-660,30544.61827882742,724.3594269448073,9.24989864876709
