CREDIT_SCORE_AVG_CALC,TERM_OF_LOAN,OPB,PAYMENT_AMOUNT,AUTO_PTI_TOTAL,INQUIRY_RECENT_CNT_TOTAL,Profitability,COF_EVENT_LABEL,PREPAYMENT_EVENT_LABEL,Charge_Off_Bal,Interest_Amount,Recovery_Amount,Fees,Origination_year,YEAR,Months_elapsed,Profitability_Cal
628.8940081544491,75.0,21356.25931905332,392.44581521724206,12.68104571127499,8.67026787097267,0.047572572323560894,0.0,1.0,0.0,38229.88038043899,0.0,0.0,2018.0,2018.0,0.0,30583.904304351192
589.2119231993248,75.0,14556.091489415863,293.9366511998594,11.22321729054633,6.756531114238859,0.03308849916626873,0.0,0.0,0.0,32224.994418537928,0.0,0.0,2018.0,2018.0,0.0,25779.995534830345
628.3490812127358,75.0,22541.023808017067,439.8477713732814,12.74382396957211,7.269866452015851,0.07659523510325522,0.0,0.0,0.0,241984.95815220388,0.0,1361.098996611306,2018.0,2018.0,0.0,194404.6259197299
629.620578913497,48.0,26805.42912791603,628.3389906012691,21.45640644343332,33.046390853001995,0.08523150964838648,0.0,0.0,0.0,13096.346252620038,0.0,0.0,2018.0,2018.0,0.0,10477.077002096032
721.015279508711,72.0,14365.77706446677,275.0467853289317,8.14894497535286,8.45319218965079,0.05239980705107459,0.0,0.0,0.0,44361.8029231375,0.0,0.0,2018.0,2018.0,0.0,35489.44233851
683.7125222753642,75.0,20419.847368118262,404.3931614594059,9.23975872624147,8.601418050943641,0.03244782906908285,0.0,1.0,0.0,40597.88217587712,0.0,0.0,2018.0,2018.0,0.0,32478.3057407017
510.27381455820256,72.0,23874.373169150083,430.015875849456,23.82745424123463,29.790847186035062,0.06512839880927736,0.0,0.0,0.0,372547.7707458426,0.0,0.0,2018.0,2018.0,0.0,298038.2165966741
639.4150254855791,48.0,24504.714747063776,427.0932937756227,7.45116739470526,7.643388033683282,0.04273626505355922,0.0,0.0,0.0,213172.21445876095,0.0,0.0,2018.0,2018.0,0.0,170537.77156700878
364.55457401899594,75.0,21601.54162745719,419.6467523319625,24.97303762631594,6.279406611750918,0.06089185706641934,0.0,1.0,0.0,27129.778323738356,0.0,1349.5756377667865,2018.0,2018.0,0.0,22513.568041650757
615.2483851421608,48.0,21610.080841443676,398.73669406197195,11.28103041465673,5.683845987115202,0.06779100194438661,0.0,1.0,0.0,15952.27132235287,0.0,1409.3798621563074,2018.0,2018.0,0.0,13607.444975176082
707.7917360658923,75.0,14660.156166915314,287.25077602438535,8.47028838090106,20.69742141153342,0.07683280682737362,0.0,1.0,0.0,35856.61286391836,0.0,830.7675878762224,2018.0,2018.0,0.0,29183.750843860424
624.4692147419122,75.0,42291.35689307017,691.7539026288816,12.88750980619894,8.355262551180626,0.062032352313582055,1.0,0.0,42291.35689307017,35303.73240853657,8458.271378614036,0.0,2018.0,2018.0,0.0,6251.480342432769
537.7896600840933,75.0,22971.84443109596,688.240222333022,12.93425865051001,8.933025444066072,0.0613841010330823,1.0,0.0,22971.84443109596,42700.51117008479,4594.368886219192,0.0,2018.0,2018.0,0.0,22215.049831897937
720.1452758357657,75.0,19263.59038185361,361.4695168146501,12.12413540093006,6.048896758252865,0.09886197454894781,0.0,0.0,0.0,29763.92146683469,0.0,0.0,2018.0,2018.0,0.0,23811.137173467752
692.6838400948163,72.0,20418.447825386975,406.80426668054105,12.93359067464957,7.295894076526654,0.02704484210681334,0.0,1.0,0.0,29412.619868947717,0.0,0.0,2018.0,2018.0,0.0,23530.095895158174
625.8858002096118,72.0,23019.68518306895,442.2693160916067,11.43125655383245,7.451601296349423,0.047519943640733524,1.0,0.0,23019.68518306895,32593.140386917854,4603.93703661379,0.0,2018.0,2018.0,0.0,14104.276014338433
718.7417999262378,72.0,41905.46241843201,734.625881995817,21.37431239218019,18.733770063478605,0.027478340419686977,0.0,0.0,0.0,9296.936566034718,0.0,0.0,2018.0,2018.0,0.0,7437.549252827775
