TERM_OF_LOAN,Profitability,Origination_year,YEAR,Months_elapsed,CREDIT_SCORE_BUCKET,OPB,PAYMENT_AMOUNT,AUTO_PTI_TOTAL
51.0,0.0965106882454167,2020.0,2020.0,0.0,660+,23482.438718614605,435.7503908535048,11.1599398815299
51.0,3650.6868056745097,2020.0,2021.0,12.0,660+,18253.434028372547,435.7503908535048,11.1599398815299
51.0,2735.1301610074024,2020.0,2022.0,24.0,660+,13024.429338130489,435.7503908535048,11.1599398815299
51.0,1714.9934225354548,2020.0,2023.0,36.0,660+,7795.424647888431,435.7503908535048,11.1599398815299
51.0,590.2765902586657,2020.0,2024.0,48.0,660+,2566.4199576463725,435.7503908535048,11.1599398815299
51.0,0.0,2020.0,2025.0,60.0,660+,0.0,435.7503908535048,11.1599398815299
51.0,0.0,2020.0,2026.0,72.0,660+,0.0,435.7503908535048,11.1599398815299
51.0,0.0,2020.0,2027.0,84.0,660+,0.0,435.7503908535048,11.1599398815299
72.0,0.0709751254561133,2020.0,2020.0,0.0,<600,21328.59122630236,397.7820728209385,7.8485122033614
72.0,3311.04127049022,2020.0,2021.0,12.0,<600,16555.2063524511,397.7820728209385,7.8485122033614
72.0,2474.1825105059656,2020.0,2022.0,24.0,<600,11781.821478599837,397.7820728209385,7.8485122033614
72.0,1541.8560530446864,2020.0,2023.0,36.0,<600,7008.436604748575,397.7820728209385,7.8485122033614
72.0,514.0618981063823,2020.0,2024.0,48.0,<600,2235.051730897314,397.7820728209385,7.8485122033614
72.0,0.0,2020.0,2025.0,60.0,<600,0.0,397.7820728209385,7.8485122033614
72.0,0.0,2020.0,2026.0,72.0,<600,0.0,397.7820728209385,7.8485122033614
72.0,0.0,2020.0,2027.0,84.0,<600,0.0,397.7820728209385,7.8485122033614
72.0,0.08230757031240404,2020.0,2020.0,0.0,601-660,20537.14868234719,408.03026685098615,8.598823823832449
72.0,3128.1570960270715,2020.0,2021.0,12.0,601-660,15640.785480135357,408.03026685098615,8.598823823832449
72.0,2256.3286783639396,2020.0,2022.0,24.0,601-660,10744.422277923522,408.03026685098615,8.598823823832449
72.0,1286.5729966565714,2020.0,2023.0,36.0,601-660,5848.059075711688,408.03026685098615,8.598823823832449
72.0,218.8900509049667,2020.0,2024.0,48.0,601-660,951.6958734998552,408.03026685098615,8.598823823832449
72.0,0.0,2020.0,2025.0,60.0,601-660,0.0,408.03026685098615,8.598823823832449
72.0,0.0,2020.0,2026.0,72.0,601-660,0.0,408.03026685098615,8.598823823832449
72.0,0.0,2020.0,2027.0,84.0,601-660,0.0,408.03026685098615,8.598823823832449
72.0,0.09921499720458915,2020.0,2020.0,0.0,601-660,19911.783684003574,384.50287470102626,7.6129060044757
72.0,3059.5498375182524,2020.0,2021.0,12.0,601-660,15297.74918759126,384.50287470102626,7.6129060044757
72.0,2243.5800851475783,2020.0,2022.0,24.0,601-660,10683.714691178944,384.50287470102626,7.6129060044757
72.0,1335.3296428486583,2020.0,2023.0,36.0,601-660,6069.680194766628,384.50287470102626,7.6129060044757
72.0,334.7985106214922,2020.0,2024.0,48.0,601-660,1455.645698354314,384.50287470102626,7.6129060044757
72.0,0.0,2020.0,2025.0,60.0,601-660,0.0,384.50287470102626,7.6129060044757
72.0,0.0,2020.0,2026.0,72.0,601-660,0.0,384.50287470102626,7.6129060044757
72.0,0.0,2020.0,2027.0,84.0,601-660,0.0,384.50287470102626,7.6129060044757
75.0,0.03698670015880236,2020.0,2020.0,0.0,<600,21269.289942272175,402.7376874871828,10.73384451314508
75.0,3287.2875384851964,2020.0,2021.0,12.0,<600,16436.43769242598,402.7376874871828,10.73384451314508
75.0,2436.7529429417555,2020.0,2022.0,24.0,<600,11603.585442579788,402.7376874871828,10.73384451314508
75.0,1489.5613024013903,2020.0,2023.0,36.0,<600,6770.733192733593,402.7376874871828,10.73384451314508
75.0,445.71261686410224,2020.0,2024.0,48.0,<600,1937.880942887401,402.7376874871828,10.73384451314508
75.0,0.0,2020.0,2025.0,60.0,<600,0.0,402.7376874871828,10.73384451314508
75.0,0.0,2020.0,2026.0,72.0,<600,0.0,402.7376874871828,10.73384451314508
75.0,0.0,2020.0,2027.0,84.0,<600,0.0,402.7376874871828,10.73384451314508
61.0,0.013803523874047619,2020.0,2020.0,0.0,660+,38787.756015926774,679.034046542618,15.54748929919278
61.0,6127.869491483072,2020.0,2021.0,12.0,660+,30639.34745741536,679.034046542618,15.54748929919278
61.0,4723.097168769828,2020.0,2022.0,24.0,660+,22490.938898903943,679.034046542618,15.54748929919278
61.0,3155.3566748863564,2020.0,2023.0,36.0,660+,14342.530340392528,679.034046542618,15.54748929919278
61.0,1424.648009832656,2020.0,2024.0,48.0,660+,6194.121781881113,679.034046542618,15.54748929919278
61.0,0.0,2020.0,2025.0,60.0,660+,0.0,679.034046542618,15.54748929919278
61.0,0.0,2020.0,2026.0,72.0,660+,0.0,679.034046542618,15.54748929919278
61.0,0.0,2020.0,2027.0,84.0,660+,0.0,679.034046542618,15.54748929919278
72.0,0.06202629520178831,2020.0,2020.0,0.0,601-660,20418.78223157393,400.08480416638525,12.81245758488932
72.0,3123.5529163154615,2020.0,2021.0,12.0,601-660,15617.764581577307,400.08480416638525,12.81245758488932
72.0,2271.516855631943,2020.0,2022.0,24.0,601-660,10816.746931580683,400.08480416638525,12.81245758488932
72.0,1323.460441948493,2020.0,2023.0,36.0,601-660,6015.729281584059,400.08480416638525,12.81245758488932
72.0,279.3836752651106,2020.0,2024.0,48.0,601-660,1214.7116315874373,400.08480416638525,12.81245758488932
72.0,0.0,2020.0,2025.0,60.0,601-660,0.0,400.08480416638525,12.81245758488932
72.0,0.0,2020.0,2026.0,72.0,601-660,0.0,400.08480416638525,12.81245758488932
72.0,0.0,2020.0,2027.0,84.0,601-660,0.0,400.08480416638525,12.81245758488932
61.0,0.04850246236512758,2020.0,2020.0,0.0,660+,29638.742294526877,612.9812740569382,12.22068424547034
61.0,4456.593401168723,2020.0,2021.0,12.0,660+,22282.967005843617,612.9812740569382,12.22068424547034
61.0,3134.7102606036756,2020.0,2022.0,24.0,660+,14927.19171716036,612.9812740569382,12.22068424547034
61.0,1665.7116142649627,2020.0,2023.0,36.0,660+,7571.416428477103,612.9812740569382,12.22068424547034
61.0,49.59746215258383,2020.0,2024.0,48.0,660+,215.64113979384274,612.9812740569382,12.22068424547034
61.0,0.0,2020.0,2025.0,60.0,660+,0.0,612.9812740569382,12.22068424547034
61.0,0.0,2020.0,2026.0,72.0,660+,0.0,612.9812740569382,12.22068424547034
61.0,0.0,2020.0,2027.0,84.0,660+,0.0,612.9812740569382,12.22068424547034
75.0,0.004259585114106468,2020.0,2020.0,0.0,601-660,15451.979433292332,294.6947043412937,7.2748126244151905
75.0,2383.1285962393617,2020.0,2021.0,12.0,601-660,11915.642981196808,294.6947043412937,7.2748126244151905
75.0,1759.6543711112693,2020.0,2022.0,24.0,601-660,8379.306529101283,294.6947043412937,7.2748126244151905
75.0,1065.453416941267,2020.0,2023.0,36.0,601-660,4842.970077005759,294.6947043412937,7.2748126244151905
75.0,300.5257337293541,2020.0,2024.0,48.0,601-660,1306.633624910235,294.6947043412937,7.2748126244151905
75.0,0.0,2020.0,2025.0,60.0,601-660,0.0,294.6947043412937,7.2748126244151905
75.0,0.0,2020.0,2026.0,72.0,601-660,0.0,294.6947043412937,7.2748126244151905
75.0,0.0,2020.0,2027.0,84.0,601-660,0.0,294.6947043412937,7.2748126244151905
72.0,0.035359185397887585,2020.0,2020.0,0.0,660+,28870.916888975546,513.4007882088108,15.65902759278536
72.0,4542.021486093963,2020.0,2021.0,12.0,660+,22710.107430469816,513.4007882088108,15.65902759278536
72.0,3475.352574112458,2020.0,2022.0,24.0,660+,16549.297971964086,513.4007882088108,15.65902759278536
72.0,2285.467472960838,2020.0,2023.0,36.0,660+,10388.488513458356,513.4007882088108,15.65902759278536
72.0,972.3661826391042,2020.0,2024.0,48.0,660+,4227.679054952627,513.4007882088108,15.65902759278536
72.0,0.0,2020.0,2025.0,60.0,660+,0.0,513.4007882088108,15.65902759278536
72.0,0.0,2020.0,2026.0,72.0,660+,0.0,513.4007882088108,15.65902759278536
72.0,0.0,2020.0,2027.0,84.0,660+,0.0,513.4007882088108,15.65902759278536
75.0,0.08368220756737592,2020.0,2020.0,0.0,601-660,17089.33505130782,324.9456488771123,21.591839826346177
75.0,2637.9974529564943,2020.0,2021.0,12.0,601-660,13189.98726478247,324.9456488771123,21.591839826346177
75.0,1951.0342904339957,2020.0,2022.0,24.0,601-660,9290.639478257122,324.9456488771123,21.591839826346177
75.0,1186.0841721809904,2020.0,2023.0,36.0,601-660,5391.291691731774,324.9456488771123,21.591839826346177
75.0,343.14709819747804,2020.0,2024.0,48.0,601-660,1491.9439052064263,324.9456488771123,21.591839826346177
75.0,0.0,2020.0,2025.0,60.0,601-660,0.0,324.9456488771123,21.591839826346177
75.0,0.0,2020.0,2026.0,72.0,601-660,0.0,324.9456488771123,21.591839826346177
75.0,0.0,2020.0,2027.0,84.0,601-660,0.0,324.9456488771123,21.591839826346177
75.0,0.01863268537721311,2020.0,2020.0,0.0,660+,22050.936604556824,401.4024238121675,10.27356203592848
75.0,3446.821503762163,2020.0,2021.0,12.0,660+,17234.107518810815,401.4024238121675,10.27356203592848
75.0,2607.6284709436086,2020.0,2022.0,24.0,660+,12417.278433064803,401.4024238121675,10.27356203592848
75.0,1672.0988564101347,2020.0,2023.0,36.0,660+,7600.449347318794,401.4024238121675,10.27356203592848
75.0,640.2326601617398,2020.0,2024.0,48.0,660+,2783.6202615727816,401.4024238121675,10.27356203592848
75.0,0.0,2020.0,2025.0,60.0,660+,0.0,401.4024238121675,10.27356203592848
75.0,0.0,2020.0,2026.0,72.0,660+,0.0,401.4024238121675,10.27356203592848
75.0,0.0,2020.0,2027.0,84.0,660+,0.0,401.4024238121675,10.27356203592848
72.0,0.038933645098404024,2020.0,2020.0,0.0,601-660,22093.29248513503,401.2334183103442,11.16587695021229
72.0,3455.6982930821796,2020.0,2021.0,12.0,601-660,17278.491465410898,401.2334183103442,11.16587695021229
72.0,2617.3749935942215,2020.0,2022.0,24.0,601-660,12463.690445686769,401.2334183103442,11.16587695021229
72.0,1682.7556737117807,2020.0,2023.0,36.0,601-660,7648.8894259626395,401.2334183103442,11.16587695021229
72.0,651.840333434857,2020.0,2024.0,48.0,601-660,2834.0884062385085,401.2334183103442,11.16587695021229
72.0,0.0,2020.0,2025.0,60.0,601-660,0.0,401.2334183103442,11.16587695021229
72.0,0.0,2020.0,2026.0,72.0,601-660,0.0,401.2334183103442,11.16587695021229
72.0,0.0,2020.0,2027.0,84.0,601-660,0.0,401.2334183103442,11.16587695021229
75.0,0.00911586386037685,2020.0,2020.0,0.0,<600,15374.971060840586,309.4633880684321,10.789822852779581
75.0,2332.28208080388,2020.0,2021.0,12.0,<600,11661.4104040194,309.4633880684321,10.789822852779581
75.0,1669.0484469116252,2020.0,2022.0,24.0,<600,7947.8497471982155,309.4633880684321,10.789822852779581
75.0,931.5435998829465,2020.0,2023.0,36.0,<600,4234.289090377029,309.4633880684321,10.789822852779581
75.0,119.7675397178444,2020.0,2024.0,48.0,<600,520.7284335558452,309.4633880684321,10.789822852779581
75.0,0.0,2020.0,2025.0,60.0,<600,0.0,309.4633880684321,10.789822852779581
75.0,0.0,2020.0,2026.0,72.0,<600,0.0,309.4633880684321,10.789822852779581
75.0,0.0,2020.0,2027.0,84.0,<600,0.0,309.4633880684321,10.789822852779581
72.0,0.085693317331893,2020.0,2020.0,0.0,601-660,20891.965382360773,412.7620538550481,19.90682425371923
72.0,3187.7641472200394,2020.0,2021.0,12.0,601-660,15938.820736100195,412.7620538550481,19.90682425371923
72.0,2306.9919788663196,2020.0,2022.0,24.0,601-660,10985.676089839619,412.7620538550481,19.90682425371923
72.0,1327.156917587389,2020.0,2023.0,36.0,601-660,6032.531443579041,412.7620538550481,19.90682425371923
72.0,248.2589633832468,2020.0,2024.0,48.0,601-660,1079.3867973184642,412.7620538550481,19.90682425371923
72.0,0.0,2020.0,2025.0,60.0,601-660,0.0,412.7620538550481,19.90682425371923
72.0,0.0,2020.0,2026.0,72.0,601-660,0.0,412.7620538550481,19.90682425371923
72.0,0.0,2020.0,2027.0,84.0,601-660,0.0,412.7620538550481,19.90682425371923
72.0,0.09155230747101498,2020.0,2020.0,0.0,601-660,14058.59932584891,272.0933964043549,13.12888676384677
72.0,2158.6957137993304,2020.0,2021.0,12.0,601-660,10793.478568996652,272.0933964043549,13.12888676384677
72.0,1580.9551405503225,2020.0,2022.0,24.0,601-660,7528.357812144393,272.0933964043549,13.12888676384677
72.0,937.9121521642696,2020.0,2023.0,36.0,601-660,4263.237055292135,272.0933964043549,13.12888676384677
72.0,229.56674864117153,2020.0,2024.0,48.0,601-660,998.1162984398761,272.0933964043549,13.12888676384677
72.0,0.0,2020.0,2025.0,60.0,601-660,0.0,272.0933964043549,13.12888676384677
72.0,0.0,2020.0,2026.0,72.0,601-660,0.0,272.0933964043549,13.12888676384677
72.0,0.0,2020.0,2027.0,84.0,601-660,0.0,272.0933964043549,13.12888676384677
72.0,0.09211101649169616,2020.0,2020.0,0.0,601-660,20985.47491250542,426.9881558073497,11.2984441278106
72.0,3172.323408563445,2020.0,2021.0,12.0,601-660,15861.617042817223,426.9881558073497,11.2984441278106
72.0,2254.9294263570955,2020.0,2022.0,24.0,601-660,10737.759173129027,426.9881558073497,11.2984441278106
72.0,1235.0582867569824,2020.0,2023.0,36.0,601-660,5613.901303440829,426.9881558073497,11.2984441278106
72.0,112.70998976310602,2020.0,2024.0,48.0,601-660,490.0434337526349,426.9881558073497,11.2984441278106
72.0,0.0,2020.0,2025.0,60.0,601-660,0.0,426.9881558073497,11.2984441278106
72.0,0.0,2020.0,2026.0,72.0,601-660,0.0,426.9881558073497,11.2984441278106
72.0,0.0,2020.0,2027.0,84.0,601-660,0.0,426.9881558073497,11.2984441278106
72.0,0.0021508316866019617,2020.0,2020.0,0.0,<600,22081.805299485335,416.4129409802415,11.06601244046222
72.0,3416.970001544488,2020.0,2021.0,12.0,<600,17084.850007722438,416.4129409802415,11.06601244046222
72.0,2538.457890351503,2020.0,2022.0,24.0,<600,12087.89471595954,416.4129409802415,11.06601244046222
72.0,1560.0066733232609,2020.0,2023.0,36.0,<600,7090.93942419664,416.4129409802415,11.06601244046222
72.0,481.61635045976095,2020.0,2024.0,48.0,<600,2093.984132433743,416.4129409802415,11.06601244046222
72.0,0.0,2020.0,2025.0,60.0,<600,0.0,416.4129409802415,11.06601244046222
72.0,0.0,2020.0,2026.0,72.0,<600,0.0,416.4129409802415,11.06601244046222
72.0,0.0,2020.0,2027.0,84.0,<600,0.0,416.4129409802415,11.06601244046222
72.0,0.01111385072765585,2020.0,2020.0,0.0,601-660,20871.72266518824,420.3114819691648,7.64635736076668
72.0,3165.5969763116527,2020.0,2021.0,12.0,601-660,15827.984881558263,420.3114819691648,7.64635736076668
72.0,2264.69189056494,2020.0,2022.0,24.0,601-660,10784.247097928286,420.3114819691648,7.64635736076668
72.0,1262.912049145628,2020.0,2023.0,36.0,601-660,5740.50931429831,420.3114819691648,7.64635736076668
