MORTGAGE_TRDLN_TOTAL,RECENT_OPEN_ACCT_TRDLN_OPEN_TOTAL,ALL_TRDLN_TAGGED_TOTAL,DEROG_TRDLN_TOTAL,INQUIRY_CNT_TOTAL,CREDIT_SCORE_AVG_CALC,ALL_CREDIT_HISTORY_MONTHS_TOTAL,CASH_DOWN_CONTRACT,RECENT_OPEN_ACCT_CUR_BAL_OPEN_TOTAL,COLLECTIONS_CUR_BAL_TOTAL,CREDIT_CARD_AVAILABLE_TOTAL,REVOLVING_AVAILABLE_TAGGED_TOTAL,CREDIT_CARD_CREDIT_LIMIT_TOTAL,BANK_CARD_CREDIT_LIMIT_TOTAL,CREDIT_CARD_CUR_BAL_OPEN_TOTAL,INSTALLMENT_MO_PMT_TOTAL,REVOLVING_CUR_BAL_TOTAL,AUTO_ORIG_BAL_PAID_TOTAL,VEHICLE_MILEAGE,AUTO_ORIG_BAL_MAX_TOTAL,INSTALLMENT_CUR_BAL_TOTAL,PAYMENT_AMOUNT,AUTO_PTI_TOTAL,OPB,INQUIRY_RECENT_CNT_TOTAL,DEALER_RESERVE,AUTO_CREDIT_HISTORY_MONTHS_MAX_TOTAL,DEROG_CUR_BAL_TOTAL,DEROG_MO_PMT_TOTAL,PAYMENT_MADE_CNT_TOTAL,PAYMENT_MADE_CNT_TAGGED_TOTAL,AUTO_PAYMENT_MADE_CNT_TOTAL,DEALER_ADDS_PERCENT,DELINQ_CNT_30_DAY_TOTAL,TOTAL_DOWN_CONTRACT_PERCENT,Loan_Status,PREPAYMENT_EVENT_LABEL,Timestamp_x,TERM_OF_LOAN,Predicted_Probability
0.0,0.0566690891403837,6.78512999855457,2.879639961628814,17.541408912433138,584.8444854778069,272.20500729862965,110.71267748692344,0.0,0.0,8978.296165638614,11247.076102816573,46560.07024775725,10416.803782373052,9473.11158183015,1748.9041670441368,0.0,6106.298117880833,6414.3937381529395,10061.851925183057,8512.91433530729,400.61089516511817,0.1056178829907017,21332.15272520333,5.829477804012405,2.1298916325440937,21.53369452053245,0.0,0.0,315.8215029158566,88.06520460500332,49.57299703566376,7.594696697755353,1.1115702936058245,0.0,1,0,2024-02-06 19:51:34.509450944,75.0,0.41964746888452575
0.0,0.0566690891403837,4.680693511021152,2.604098034222285,21.914397849209237,566.1332987930908,47.50388182400037,116.7980858562512,0.0,0.0,240.95744150725864,-621.7212358022568,1009.1054302999491,0.0,32.753403484413866,625.8868861520597,0.0,95109.75306059048,101948.01693684714,17468.219817945865,10858.425741577266,369.065742824504,0.1139489490434966,20661.66199244117,30.092517295900713,1.7407655055048272,30.23910843318832,0.0,0.0,242.4704681933332,54.1832005906879,148.3367702034103,8.489095251893536,0.9281122211278134,0.0,1,0,2019-06-06 08:53:51.683168316,74.72639600708202,0.5141943620091896
0.0,1.811925004383496,21.474957183913183,8.88182330133865,92.88030427228276,553.3556401596003,88.94702133852851,98.06309311490212,0.0,0.0,204.74257296974065,-854.3512901344673,2356.782774640891,0.0,389.21103962126654,802.8533421788139,0.0,4985.69601905709,32360.137284484656,17328.483241991806,10684.18470583484,542.4559154180422,0.1164478394529133,30884.62055375559,35.5584755892766,1.5361643550984765,35.39193524313059,0.0,0.0,1641.4937190278372,58.68206581387483,29.218836100067023,6.877073518697794,2.2061558651134665,0.0,0,0,2022-02-22 14:03:46.822682272,75.0,0.4182971684072073
0.1379755708212424,0.0566690891403837,7.850757542074119,10.13549617463394,13.146087312190888,625.0160485390999,83.38380687371007,3606.365762651693,0.0,13755.806474200715,206.22276588604632,-686.6966630519416,2410.2685226891836,0.0,13323.232160676347,791.3930115701693,0.0,27048.90211495133,78482.2713907864,16664.072928331618,8047.473885643449,317.02082079923946,0.1310588211904938,15723.369387564158,5.521286853468745,1.7407655055048272,63.8209926391898,0.0,0.0,292.05007196059387,44.39918792742493,50.32952959932136,4.459020008839502,1.2610881789609154,45.33485017678637,1,0,2024-10-31 07:35:39.693969408,62.21093131981163,0.334688711242739
0.1069590051328508,3.2356822710268345,8.289208293038685,3.615285870759532,30.30088508606744,457.592867604356,109.19673567319302,3596.028431423341,7009.737088368518,0.0,223.4634904700172,-508.7436386244942,2471.772671894185,0.0,3654.991097421355,6157.7376420461715,0.0,18425.488802160427,8380.563944385183,13675.82662294115,8736.301630281778,437.3087128953859,0.1296080838538005,23104.21643561031,7.847587510835644,1.3815136356886786,29.368233061259488,0.0,0.0,520.9794903103449,85.0096330976559,40.23769875568964,6.839425685312703,0.9281122211278134,0.0,0,0,2024-06-04 23:53:39.801980192,75.0,0.42028841193691535
0.0,0.0566690891403837,4.02080332821393,2.220601750414321,15.0196521893089,623.8254161118626,331.1036358212295,121.40482794894729,0.0,0.0,6358.445157396042,-594.2565773269937,39613.347181243545,86601.49841190202,0.0,726.1666281037072,131250.80456167785,6959.966392364906,6404.290707040927,13440.943035392864,6754.634683104319,385.2335227218158,0.1290930011286826,20284.273729481232,7.966883055109867,1.3811581274689766,23.9575900862371,0.0,0.0,229.8553819640343,37.79553163521966,27.661687380667196,13.908809471516776,0.9281122211278134,0.0,1,0,2022-03-23 17:43:41.422142208,75.0,0.505711226010217
0.0,0.9391719799491154,6.275918720150184,3.378605099761262,31.919211521759205,695.1544226089111,102.44817917209188,3778.56685581648,5408.508258952566,0.0,-197.71249568342773,-621.7960809424183,716.920569726426,0.0,0.0,809.2319865966931,0.0,86302.39518541527,34536.77536008241,22394.01124932881,9459.074328662082,549.7943574561842,0.077338257002222,30781.595265737305,17.16269412479715,1.7407655055048272,96.86286590864805,19640.031683159257,381.038587691252,1488.4337060081289,48.57542011659592,259.2428825849781,4.0955618478982005,25.164241122608995,0.0,1,0,2025-04-07 14:39:12.475247520,74.34836027290253,0.44689008036884353
0.0,0.7909748810839202,6.023375824087981,2.374270728691277,20.458913710119532,617.5672675011187,62.96728159665141,127.8375286723981,0.0,0.0,211.94809319650813,-667.4001122011798,1177.5546994410888,0.0,1598.1343542415748,814.5305208666983,0.0,3534.672832798624,53556.45761704583,8428.469392236786,8495.672431902567,493.844667777553,0.1269411809215746,28615.3561268446,7.682065424980392,1.7407655055048272,18.122954040858584,0.0,0.0,279.1990351556366,90.20946250619198,24.626526968820585,9.615559362589256,1.2214820386858154,0.0,0,1,2021-06-26 04:20:39.963996400,75.0,0.37038218668270906
0.0,0.1234983324735208,7.3807495420822065,5.109703283039922,36.21302230540051,402.7160270135393,117.14047512223648,85.26134274626293,0.0,8487.765920300873,300.58107365170997,-555.1294031400523,526.8205761956251,0.0,19.44949133842329,782.4743948428123,0.0,3534.672832798624,65716.19242775891,10514.399692880752,7418.070516287127,443.30186696861824,0.0823058285884133,22660.679919829156,34.46332603581915,1.7407655055048272,30.13057773976758,5504.941820432364,0.0,209.10424852056497,59.78808465501568,27.19600484118213,16.184639130028604,1.7667243336135607,0.0,1,0,2019-07-01 04:13:36.561656164,75.0,0.41740573786977236
0.1890974460308563,0.1919688365506875,8.405079638815325,4.77274499458901,21.38961729031349,538.6239718357072,90.5516343080786,134.15110171646143,0.0,0.0,206.38885879102668,-844.3653818721425,897.6959234845071,0.0,0.0,883.5404027740852,0.0,3534.672832798624,10520.96571562636,8562.554310683434,8782.253712029073,391.2227245443144,0.1075205460382891,19901.24648266326,12.481193446845548,1.5232644779198403,63.609041429752565,0.0,0.0,207.23489143239044,53.512849430888664,27.725905353966148,11.41799264155674,16.11174177622422,0.0,1,1,2022-07-17 01:42:06.372637264,75.0,0.39214063513446784
