TERM_OF_LOAN,CASH_DOWN_CONTRACT,PAYMENT_AMOUNT,OPB,DEALER_RESERVE,AUTO_ORIG_BAL_PAID_TOTAL,AUTO_ORIG_BAL_MAX_TOTAL,VEHICLE_MILEAGE,AUTO_PTI_TOTAL,DEALER_ADDS_PERCENT,TOTAL_DOWN_CONTRACT_PERCENT,COF_EVENT_LABEL,PREPAYMENT_EVENT_LABEL,Profitability_GBP,Loan_Status,Timestamp,Application_ID
74.35685066345853,2804.9298000804524,428.30366906293585,22732.368601564765,-0.8307752533456478,12190.071197174806,23635.450740224744,112940.87075399916,0.1119622690220837,3.142132732037621,17.469816206649423,0,0,2768.2074447640657,1,2018-07-01 00:00:00.000000000,1
74.97334661561267,86.41467593705534,433.3622130438196,26825.896504322012,0.4931044616610766,85390.78832754433,29339.505331866327,47158.82882890152,0.122874666245446,5.3925548730133475,0.0,0,1,3312.2208474032573,1,2018-07-01 06:08:14.689468946,2
74.782824217568,1173.0682133175628,658.9034866182358,28565.122278701656,1.5968566117194989,8316.13797997604,16806.061343585538,21357.452558369965,0.2382013545014231,3.28200719043382,0.0,0,0,5583.22836539557,1,2018-07-01 12:16:29.378937893,3
75.0,85.26134274626293,426.4289455528174,22111.040421680183,0.9012672670873472,5966.649057966875,46843.87368999103,28480.43516987116,0.2693078461521578,7.954349401368933,0.0,0,0,3239.1900105409563,1,2018-07-01 18:24:44.068406840,4
69.20127854537458,6609.6017542355585,434.37296440273866,23165.840190687388,1.7407655055048272,125842.8807418676,36703.88527919098,25675.076380308445,0.1136892444984347,3.807037232864696,5.8763901536057235,1,1,-1565.623077971632,0,2018-07-02 00:32:58.757875787,5
74.49192073982029,209.5888212031026,673.0047118436476,39924.77277726511,1.458565608868937,146433.75847159993,48515.974446818655,66192.29798516605,0.1081486918753168,6.293204173185641,0.0,0,1,-1868.384626727258,0,2018-07-02 06:41:13.447344734,6
61.20232142458328,213.80062425898245,410.9627547046946,20416.377947536323,2.1644182205608913,3534.672832798624,12673.562165266105,21903.33255407086,0.1168060489901984,5.423086573833,0.0,0,1,-1508.4134924095265,0,2018-07-02 12:49:28.136813681,7
74.9068409610109,1042.6278594096514,386.8009397078819,20814.93618137864,-0.7551912557328839,5111.493172842616,17064.978150775212,12659.539423716102,0.1306825809560597,7.324384644817988,0.0,0,0,4582.44054858816,1,2018-07-02 18:57:42.826282628,8
74.06312546176952,1038.2362414730626,396.3045859421045,20457.29196347321,1.5975247978156308,9913.389686145856,17508.953290078316,14917.719827259993,0.1183806590637826,5.247474565362509,0.0,0,0,6159.271757815584,1,2018-07-03 01:05:57.515751575,9
66.07099754644447,85.26134274626293,375.1551484815974,17674.14512655748,1.7407655055048272,4688.949155324408,17040.37716670678,17371.380527659996,0.1103104642388184,3.2998948948639857,0.0,0,0,6174.739831665516,1,2018-07-03 07:14:12.205220522,10
