TERM_OF_LOAN,Profitability,Origination_year,YEAR,Months_elapsed,CREDIT_SCORE_BUCKET,OPB,PAYMENT_AMOUNT,AUTO_PTI_TOTAL
29.0,0.03192352679006693,2021.0,2021.0,0.0,601-660,22222.76343776366,419.3276258800774,10.72631282477677
29.0,3438.166385440547,2021.0,2022.0,12.0,601-660,17190.831927202733,419.3276258800774,10.72631282477677
29.0,2553.369087494779,2021.0,2023.0,24.0,601-660,12158.900416641804,419.3276258800774,10.72631282477677
29.0,0.0,2021.0,2024.0,36.0,601-660,0.0,419.3276258800774,10.72631282477677
29.0,0.0,2021.0,2025.0,48.0,601-660,0.0,419.3276258800774,10.72631282477677
29.0,0.0,2021.0,2026.0,60.0,601-660,0.0,419.3276258800774,10.72631282477677
29.0,0.0,2021.0,2027.0,72.0,601-660,0.0,419.3276258800774,10.72631282477677
29.0,0.0,2021.0,2028.0,84.0,601-660,0.0,419.3276258800774,10.72631282477677
72.0,0.07750303928705299,2021.0,2021.0,0.0,601-660,22904.321327727608,443.8946967740469,10.79675422809221
72.0,3515.516993287809,2021.0,2022.0,12.0,601-660,17577.584966439044,443.8946967740469,10.79675422809221
72.0,2572.678207081601,2021.0,2023.0,24.0,601-660,12250.848605150482,443.8946967740469,10.79675422809221
72.0,1523.3046936496225,2021.0,2024.0,36.0,601-660,6924.11224386192,443.8946967740469,10.79675422809221
72.0,367.396452991872,2021.0,2025.0,48.0,601-660,1597.3758825733566,443.8946967740469,10.79675422809221
72.0,0.0,2021.0,2026.0,60.0,601-660,0.0,443.8946967740469,10.79675422809221
72.0,0.0,2021.0,2027.0,72.0,601-660,0.0,443.8946967740469,10.79675422809221
72.0,0.0,2021.0,2028.0,84.0,601-660,0.0,443.8946967740469,10.79675422809221
72.0,0.09200253141507254,2021.0,2021.0,0.0,601-660,29295.890778095873,447.7037941007949,10.401300981501741
72.0,4784.6890497772665,2021.0,2022.0,12.0,601-660,23923.44524888633,447.7037941007949,10.401300981501741
72.0,3895.709941132127,2021.0,2023.0,24.0,601-660,18550.999719676794,447.7037941007949,10.401300981501741
72.0,2899.2819219027965,2021.0,2024.0,36.0,601-660,13178.554190467257,447.7037941007949,10.401300981501741
72.0,1795.4049920892749,2021.0,2025.0,48.0,601-660,7806.108661257716,447.7037941007949,10.401300981501741
72.0,584.079151691563,2021.0,2026.0,60.0,601-660,2433.6631320481792,447.7037941007949,10.401300981501741
72.0,0.0,2021.0,2027.0,72.0,601-660,0.0,447.7037941007949,10.401300981501741
72.0,0.0,2021.0,2028.0,84.0,601-660,0.0,447.7037941007949,10.401300981501741
75.0,0.0850173370385905,2021.0,2021.0,0.0,601-660,39701.90469525932,742.3749392807999,12.70792124444227
75.0,6158.681084777945,2021.0,2022.0,12.0,601-660,30793.405423889722,742.3749392807999,12.70792124444227
75.0,4595.830292029225,2021.0,2023.0,24.0,601-660,21884.90615252012,742.3749392807999,12.70792124444227
75.0,2854.8095138531144,2021.0,2024.0,36.0,601-660,12976.40688115052,742.3749392807999,12.70792124444227
75.0,935.6187502496123,2021.0,2025.0,48.0,601-660,4067.907609780923,742.3749392807999,12.70792124444227
75.0,0.0,2021.0,2026.0,60.0,601-660,0.0,742.3749392807999,12.70792124444227
75.0,0.0,2021.0,2027.0,72.0,601-660,0.0,742.3749392807999,12.70792124444227
