INSTALLMENT_MO_PMT_TOTAL,INSTALLMENT_CUR_BAL_TOTAL,PAYMENT_MADE_CNT_TOTAL,PAYMENT_MADE_CNT_TAGGED_TOTAL,AUTO_PAYMENT_MADE_CNT_TOTAL,Timestamp,Loan_Status,Application_ID
890.5412904435224,31264.163426232153,226.9163935038186,57.90057685596331,35.36897953197624,2018-07-01,1,1
839.5595402802257,7067.262555707555,1393.9243017722945,285.16983542280235,51.83376827288475,2018-07-01,1,2
826.357102082379,12216.593789634844,185.4431467771404,41.92048281925243,45.86501190558874,2018-07-01,1,3
642.3685334178281,7150.577224492725,269.49039117080565,308.06391744832774,42.17894767334078,2018-07-01,1,4
667.6792529825494,9043.619843908204,183.64481468694356,37.69490140616418,75.15082285944831,2018-07-02,0,5
775.2730500383685,11906.460143351043,263.08553691201024,79.9074646663172,34.609343499811516,2018-07-02,0,6
734.6521440126422,6693.089665624033,320.7163520298987,40.9842376220472,28.74704123946903,2018-07-02,0,7
732.0016825402656,6853.421559812046,401.26422870427535,59.32928825552271,32.51150125450053,2018-07-02,1,8
670.7207726224048,7245.066654440154,212.10853502458215,78.28986286142795,32.960377459756245,2018-07-03,1,9
748.132922948146,6985.69574849393,1637.7171958527756,72.29309565185997,225.53343321621048,2018-07-03,1,10
816.4098058623842,9927.972613660151,282.8385271663492,99.1834186714521,37.16043759548128,2018-07-03,0,11
806.5547620244549,6590.944902965231,280.80753387430116,75.58471942728025,34.75280856214126,2018-07-03,1,12
738.5045896092129,152083.56460851547,223.32068068488303,41.55089574460008,30.59010009202745,2018-07-04,1,13
7274.177629592146,7162.688573024447,606.1577015096561,59.979379520169374,54.85427409516173,2018-07-04,0,14
776.992784524348,111686.77002392669,1436.9386585758657,41.423376967853386,46.68437712357188,2018-07-04,0,15
877.663392450365,11092.477954961782,287.78205664826896,37.8323331958546,47.67570663770806,2018-07-04,0,16
863.5482880431927,10489.585766337565,297.1128607467252,55.28867876885283,42.45530721498755,2018-07-05,1,17
1903.8063025253189,162177.5955216021,1230.196287745592,460.34445759778146,209.03932435186147,2018-07-05,1,18
697.5469672201847,9424.703661485702,189.82429038530955,44.78768637522085,24.54590547826261,2018-07-05,1,19
718.2865836702225,6621.863542890944,142.23546268585932,35.92505171956927,29.482954416619364,2018-07-05,0,20
829.8136194333919,7808.389705701855,237.67380509432587,86.33916494265202,28.477624916556728,2018-07-06,1,21
734.1043250363113,6840.097947047056,226.93029960415527,60.265735284693775,44.13637106122492,2018-07-06,0,22
851.5949541407631,7839.219301182173,437.7610994159576,85.2961230631406,50.47767852247492,2018-07-06,0,23
4435.983409603961,9136.022296709318,224.2870567336355,42.53383416221038,42.01753633423304,2018-07-06,1,24
5768.740549735787,8483.017364500261,309.8244544105469,58.00076620682866,256.35766786089516,2018-07-07,1,25
6902.857670275954,210300.73863473145,1941.5299349347565,594.2159922631515,223.74258580667595,2018-07-07,1,26
685.4124177758068,6772.284655880529,330.229871343564,54.57147667263665,27.437775817544967,2018-07-07,0,27
745.9412460617611,7987.648791562555,236.9404822796364,53.434079483491445,36.02910640992967,2018-07-07,1,28
876.1466491699283,114117.32754584643,1239.947114116626,424.4654448578694,29.563919980742575,2018-07-08,1,29
787.1732136854331,7092.931455485286,937.40477046024,42.93534129957551,77.09449590207309,2018-07-08,0,30
768.4685705695969,7506.745153613945,636.7677764537252,89.77036224502805,41.02266182929169,2018-07-08,1,31
822.6641779985871,9004.37057241047,186.00776707275764,41.81921784947393,30.32973556508852,2018-07-08,0,32
6532.641902431387,10697.771486982074,173.7164884891443,39.81742374390413,32.64406736387712,2018-07-09,0,33
749.6720655740777,7381.751030014919,277.10791936672604,62.39298020027786,46.99993483412352,2018-07-09,1,34
776.6883589386829,201662.68230411332,1023.5312409979427,324.35960589470574,43.18789856439038,2018-07-09,1,35
767.9348668786711,8030.721965397544,1311.084716358222,730.4322008447338,26.707137297351068,2018-07-09,1,36
814.7162117029713,7019.541367560269,167.01336342560052,41.033679460310424,24.800828678476144,2018-07-10,1,37
843.1725948967302,12242.1134453555,166.72989328785718,42.051449768842915,23.22063713774497,2018-07-10,0,38
5097.683307852156,7952.524161212747,415.3258882584014,90.48114437139402,101.5343565751824,2018-07-10,1,39
879.7990148411989,8289.867123030293,1898.3600036871696,319.4295784036404,97.8607218076633,2018-07-10,1,40
815.1682588127651,7196.301316824589,152.49392448017375,38.40715672395686,29.342177901206348,2018-07-11,0,41
814.9284418247996,10623.5795204466,150.36318853575528,39.78535627264864,23.284754418989344,2018-07-11,1,42
679.3441827486804,8641.558674163469,248.44053548666255,44.28525953776803,30.08612299536506,2018-07-11,0,43
728.1863611901213,11622.358453833476,276.60521166337753,41.322064044481735,27.637623600700177,2018-07-11,1,44
776.2152482596799,11460.33325431002,1697.2704441510475,415.5310879234024,44.7107393839804,2018-07-12,0,45
2916.1219538935493,11368.7466632584,2042.0713659609685,380.7310074163605,265.62238695518766,2018-07-12,1,46
824.1148112970576,7080.561102927615,226.65956519567715,70.63036971311949,219.69408593930297,2018-07-12,1,47
644.30924145958,6859.826319017899,194.1446691756687,60.08395150292891,27.870888884600255,2018-07-13,1,48
3090.599413817762,7593.756068182058,263.7855426177569,56.31670995560907,239.87585862680336,2018-07-13,1,49
5825.000107622181,7014.659117803163,878.385995251326,509.5964937291375,43.13604931310038,2018-07-13,0,50
722.7783284137549,168649.19889795492,225.26638996019457,42.45885582975474,39.17885295619507,2018-07-13,1,51
667.4821796467361,6892.14892865131,172.08163798051677,51.79452253217349,24.498399099259856,2018-07-14,1,52
868.9004708222266,47312.07051652789,284.1331815711594,209.00405473392595,137.14717664326662,2018-07-14,1,53
3842.896217695419,44911.15443213579,1464.771364192082,309.384078229613,39.591895525139904,2018-07-14,1,54
